what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1334111968906
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1334111969968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334111972078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334111982703
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1334111985562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334111985625
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1334111992062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334111995937
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1334111995937
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1334111996968
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1334112003421
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1334112008078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1334112014312
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1334112015031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334112016906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334112023375
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1334112026359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334112026421
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1334112032593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334112035906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1334112035906
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1334112037078
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1334112043156
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1334112062343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1334112081953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334112104562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1334112107187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1334112136921
