what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387179328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387180046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387180609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387183234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387187718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387199515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387199906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387267718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387273656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387288171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387291140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387322265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387429062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387442906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387445593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387446812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387446843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387451125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387452734
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313387459906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387462390
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313387462406
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1313387467921
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313387503390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387506921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387520156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387523484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387523593
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313387524921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387556750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387562312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387579281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313387583218
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313387583234
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313387584437
