what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328177374609
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1328177374609
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1328177374609
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1328177374609
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328177374609
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1328177374609
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328177374609
started,bundle,com.altera.sbtgui.integration,11.1.0.216,"com.altera.sbtgui.integration",1328177374609
started,bundle,com.altera.sbtgui.project,11.1.0.216,"com.altera.sbtgui.project",1328177374609
started,bundle,com.altera.systemconsole,11.1.0.216,"com.altera.systemconsole",1328177374609
started,bundle,com.altera.utilities,11.1.0.216,"com.altera.utilities",1328177374609
os,sysinfo,,,"win32",1328177374625
arch,sysinfo,,,"x86",1328177374625
ws,sysinfo,,,"win32",1328177374625
locale,sysinfo,,,"zh_CN",1328177374625
processors,sysinfo,,,"2",1328177374625
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328177374625
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1328177374625
java.specification.name,sysinfo,,,"Java Platform API Specification",1328177374625
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328177374625
java.specification.version,sysinfo,,,"1.6",1328177374625
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328177374625
java.version,sysinfo,,,"1.6.0_23",1328177374625
java.vm.info,sysinfo,,,"mixed mode",1328177374625
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328177374625
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328177374625
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328177374625
java.vm.specification.version,sysinfo,,,"1.0",1328177374625
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328177374625
java.vm.version,sysinfo,,,"19.0-b09",1328177374625
started,bundle,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch",1328177374921
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328177377562
started,bundle,com.altera.sbtgui.core,11.1.0.216,"com.altera.sbtgui.core",1328177377703
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1328177377765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177380328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177383359
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1328177384859
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1328177384890
opened,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328177390734
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1328177391468
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1328177391468
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1328177391468
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1328177391484
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1328177391484
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1328177391562
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8090b0, /cygdrive/d/SVN/DE2/DE2/test/Qsys_Q11_1/on_chip/DE2_SD_Card_Audio/software/DE2_SD_Card_Audio/DE2_SD_Card_Audio.elf] return code: 4, 'other error'",1328177399000
error,log,,,"Downloading ELF Process failed",1328177399000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177399046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177400906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328177401890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177403421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177413234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177413812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177414750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177415328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177417781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177418250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177489703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328177490468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328179583546
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328179584515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328179587796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328179590718
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1328179591703
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328179595390
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328179596953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328179599234
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328179604781
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328179627421
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328179628453
