what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328188029468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188034484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188039062
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328188041578
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328188043812
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328188048484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188050296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188068046
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328188068937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188071125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188110734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188111218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188122734
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328188123781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188126765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188132703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188134234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188180671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188182500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328188197671
