what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328259614234
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328259618359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328259801375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260065968
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328260067156
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328260072015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260073937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260081953
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328260082765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260085265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260106671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260108375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260144750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260145578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260421359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260421593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260422093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260423750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260431000
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328260431750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260433875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260434671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260438312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260441437
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328260441453
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328260444015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260445875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260447937
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1328260448468
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328260451890
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328260453937
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328260458015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260477312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260495281
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260495609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260502390
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328260503296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328260508875
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328260509734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260513671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260516921
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1328260517468
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328260520593
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328260522578
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328260526656
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328260533906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328260538921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260540015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260791343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260791734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260792375
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328260793906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260794593
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328260799953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260799968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260805890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260946734
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328260947828
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328260952843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328260956093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261016234
activated,view,com.altera.sbtgui.launch,11.1.0.216,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1328261017171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261017937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261021203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261021953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261038359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261040828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261044171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261045015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261077609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261078687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261110515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261112000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261131187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328261133921
