what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1328266789796
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266790203
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266813015
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328266814406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266817859
error,log,,,"Unhandled event loop exception",1328266838500
error,log,,,"Unhandled event loop exception",1328266865968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266870687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1328266870703
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266872968
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266876468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266880578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266881640
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266884671
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266885843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328266898156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266900218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266907312
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266908578
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266913500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266929125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266931875
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328266932703
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266945593
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266946000
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266946078
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266947562
error,log,,,"Unhandled event loop exception",1328266954656
error,log,,,"Unhandled event loop exception",1328266959500
error,log,,,"Unhandled event loop exception",1328266961453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266964421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266967171
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328266968437
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328266972078
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328266978500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328266981921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267034531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1328267034546
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328267036031
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328267037640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267041015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267080828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1328267080843
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328267083187
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1328267087890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267090437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267096750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267096812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267096859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328267096859
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1328267102906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1328267104421
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328267106812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267107203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267110390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267113500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267116015
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328267116031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1328267116031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267116046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267118328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1328267130187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328267133203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267133578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267135484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267141515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267145468
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328267145484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1328267145484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267145515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267147046
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1328267153828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328267157156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267157218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267158453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267161984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267164343
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328267164359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1328267164359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267164390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267168453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267171281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267175437
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328267176703
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328267178781
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328267180109
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328267180171
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328267200640
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328267200859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267211906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267212796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267213656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267215187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267215687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267219328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267227968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267338765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267339296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267350437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267350984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267765171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267765171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267805718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328267807343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268101312
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328268107531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268110265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268176109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268177484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268216796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268216906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268569406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268570765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268874859
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328268876125
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328268879843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268890937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268898031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268904734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268905375
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268909703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268946468
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328268946468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328268949234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328269007937
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328269009625
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328269010453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328269020343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328269036218
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269037812
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328269041375
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269045109
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269045203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1328269047125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1328269068203
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328269070937
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269071921
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328269074218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328269077250
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269082125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1328269095578
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269096718
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328269097656
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269098609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328269101453
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328269103234
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269103453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328269105906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328269107703
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328269109203
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269109515
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328269122578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328269125000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328269127281
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328269129375
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269129562
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269131875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1328269140750
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328269142281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1328269144234
